swap_id,counterparty_email,proposer_rating
2,usr718@gt.edu,3
3,usr333@gt.edu,5
8,usr183@gt.edu,3
12,usr283@gt.edu,5
17,usr023@gt.edu,2
22,usr019@gt.edu,2
25,usr494@gt.edu,2
27,usr223@gt.edu,5
28,usr053@gt.edu,1
36,usr802@gt.edu,3
38,usr904@gt.edu,5
39,usr410@gt.edu,2
42,usr640@gt.edu,5
46,usr407@gt.edu,5
49,usr323@gt.edu,2
50,usr831@gt.edu,4
51,usr799@gt.edu,4
57,usr058@gt.edu,2
58,usr224@gt.edu,1
59,usr142@gt.edu,4
60,usr396@gt.edu,1
62,usr656@gt.edu,3
63,usr187@gt.edu,2
64,usr666@gt.edu,4
66,usr354@gt.edu,5
67,usr321@gt.edu,5
68,usr327@gt.edu,2
70,usr213@gt.edu,1
75,usr788@gt.edu,3
78,usr035@gt.edu,2
80,usr055@gt.edu,4
81,usr834@gt.edu,2
84,usr736@gt.edu,1
86,usr687@gt.edu,2
87,usr873@gt.edu,3
89,usr295@gt.edu,2
90,usr766@gt.edu,5
93,usr362@gt.edu,1
94,usr246@gt.edu,4
96,usr643@gt.edu,1
99,usr243@gt.edu,2
101,usr110@gt.edu,4
102,usr425@gt.edu,3
106,usr770@gt.edu,5
109,usr421@gt.edu,4
110,usr856@gt.edu,1
115,usr004@gt.edu,4
118,usr434@gt.edu,3
121,usr943@gt.edu,5
125,usr546@gt.edu,2
126,usr423@gt.edu,2
128,usr249@gt.edu,1
131,usr529@gt.edu,3
140,usr609@gt.edu,5
146,usr548@gt.edu,4
154,usr553@gt.edu,5
157,usr129@gt.edu,4
158,usr845@gt.edu,5
164,usr715@gt.edu,5
166,usr380@gt.edu,4
167,usr226@gt.edu,2
170,usr519@gt.edu,1
178,usr082@gt.edu,2
180,usr855@gt.edu,1
183,usr332@gt.edu,4
187,usr410@gt.edu,3
192,usr869@gt.edu,5
196,usr573@gt.edu,2
197,usr294@gt.edu,4
201,usr648@gt.edu,2
208,usr112@gt.edu,4
214,usr328@gt.edu,2
217,usr362@gt.edu,4
218,usr328@gt.edu,2
219,usr028@gt.edu,5
220,usr488@gt.edu,1
224,usr494@gt.edu,2
227,usr814@gt.edu,1
228,usr792@gt.edu,3
233,usr709@gt.edu,3
237,usr368@gt.edu,5
242,usr175@gt.edu,4
253,usr116@gt.edu,4
256,usr555@gt.edu,5
258,usr827@gt.edu,4
261,usr651@gt.edu,4
265,usr071@gt.edu,2
266,usr778@gt.edu,3
268,usr903@gt.edu,5
270,usr474@gt.edu,2
273,usr939@gt.edu,3
282,usr826@gt.edu,4
285,usr644@gt.edu,2
294,usr042@gt.edu,1
295,usr308@gt.edu,5
296,usr665@gt.edu,4
305,usr811@gt.edu,5
308,usr550@gt.edu,4
316,usr863@gt.edu,2
322,usr296@gt.edu,5
324,usr328@gt.edu,5
326,usr137@gt.edu,3
333,usr895@gt.edu,4
334,usr924@gt.edu,5
335,usr698@gt.edu,4
336,usr712@gt.edu,4
337,usr079@gt.edu,3
338,usr245@gt.edu,2
342,usr890@gt.edu,3
344,usr614@gt.edu,3
347,usr784@gt.edu,1
350,usr381@gt.edu,2
351,usr879@gt.edu,3
352,usr752@gt.edu,3
355,usr555@gt.edu,5
356,usr564@gt.edu,5
357,usr929@gt.edu,5
361,usr507@gt.edu,3
363,usr829@gt.edu,2
365,usr002@gt.edu,2
371,usr061@gt.edu,4
372,usr232@gt.edu,4
373,usr441@gt.edu,3
377,usr205@gt.edu,1
378,usr271@gt.edu,3
381,usr328@gt.edu,5
382,usr665@gt.edu,3
383,usr872@gt.edu,3
384,usr184@gt.edu,4
393,usr545@gt.edu,2
395,usr825@gt.edu,4
396,usr287@gt.edu,5
397,usr860@gt.edu,2
399,usr874@gt.edu,4
400,usr762@gt.edu,3
404,usr678@gt.edu,3
408,usr175@gt.edu,5
