item_id,email,name,description,condition,type
1,usr001@gt.edu,"Kevin Van Dam's Big Bass Challenge","Zoo Games   Unreleased","Like New","Video Game"
2,usr001@gt.edu,"Daikaijuu Monogatari: The Miracle of the Zone",NULL,Mint,"Card Game"
3,usr001@gt.edu,Postal,"Running with Scissors","Damaged/Missing parts","Computer Game"
4,usr001@gt.edu,"Euro Truck Simulator","SCS Software","Lightly Used","Computer Game"
5,usr001@gt.edu,"Cricket Attax","Topps   ","Damaged/Missing parts","Card Game"
6,usr001@gt.edu,"Pony Island","Daniel Mullins Games","Lightly Used","Computer Game"
7,usr001@gt.edu,"Babylon 5 Collectible Card Game ","by Precedence Entertainment   ","Heavily Used","Card Game"
8,usr001@gt.edu,"Mario Tennis 64JP","Camelot   Nintendo","Like New","Video Game"
9,usr001@gt.edu,"Pokemon Stadium Gold SilverJP","Nintendo EAD   Nintendo","Damaged/Missing parts","Video Game"
10,usr001@gt.edu,"Donkey Kong card game",NULL,"Moderately Used","Card Game"
11,usr001@gt.edu,"Act of Aggression","Eugen Systems   Focus Home Interactive","Lightly Used","Computer Game"
12,usr001@gt.edu,Dimps,"Namco Bandai Games   Unreleased","Like New","Video Game"
13,usr002@gt.edu,"NBA in the Zone 2JP","KCEO   Konami",Mint,"Video Game"
14,usr002@gt.edu,"Frosty Adventures ","Jigsaw Puzzle By Ravensburger NEW","Like New","Jigsaw Puzzle"
15,usr002@gt.edu,"Pok�mon Puzzle League","Nintendo Software Technology   Nintendo","Lightly Used","Video Game"
16,usr002@gt.edu,Monopoly,"Board game   EA Bright Light","Damaged/Missing parts","Video Game"
17,usr002@gt.edu,"Monopoly Deal","Card & Board   Asobo Studio","Like New","Video Game"
18,usr002@gt.edu,"Jetpack Joyride","Halfbrick Studios   Unreleased","Moderately Used","Video Game"
19,usr002@gt.edu,"Under the Big Top","Andrea Farnham (art and tricks)","Damaged/Missing parts","Jigsaw Puzzle"
20,usr002@gt.edu,"Multi-Racing ChampionshipJP","Genki   ImagineerJP","Damaged/Missing parts","Video Game"
21,usr003@gt.edu,"Europa Universalis III",NULL,"Moderately Used","Computer Game"
22,usr003@gt.edu,"Wreck It Ralph 2 ","Jigsaw Puzzle By Ravensburger NEW","Damaged/Missing parts","Jigsaw Puzzle"
23,usr003@gt.edu,"Payday 2","Overkill Software   505 Games","Like New","Computer Game"
24,usr003@gt.edu,"Silkroad Online","Joymax   Joymax, Yahoo!","Lightly Used","Computer Game"
25,usr003@gt.edu,Trireme,"Battleline Publications  1979","Damaged/Missing parts","Board Game"
26,usr003@gt.edu,"Mario Party","Hudson Soft   Nintendo","Heavily Used","Video Game"
27,usr003@gt.edu,"Firestorm Tactical Card Game ",NULL,"Heavily Used","Card Game"
28,usr003@gt.edu,"Monopoly Plus",NULL,"Moderately Used","Video Game"
29,usr003@gt.edu,Successors,"Avalon Hill  1997","Moderately Used","Board Game"
30,usr003@gt.edu,Postal,"Running with Scissors","Lightly Used","Computer Game"
31,usr003@gt.edu,"Age of Empires III","Ensemble Studios   Microsoft Game Studios","Lightly Used","Computer Game"
32,usr003@gt.edu,"Major League Baseball 2K7","Sports   Kush Games","Lightly Used","Video Game"
33,usr004@gt.edu,"Alien Swarm",Valve,"Lightly Used","Computer Game"
34,usr004@gt.edu,"Battleground 4: Shiloh",NULL,"Lightly Used","Computer Game"
35,usr004@gt.edu,"Stellar Monarch","Silver Lemur Games","Moderately Used","Computer Game"
36,usr004@gt.edu,"Imajica	","Harper Prism/Clive Barker   ","Like New","Card Game"
37,usr004@gt.edu,Phalanx,"Simulations Publications, Inc.  1971","Like New","Board Game"
38,usr004@gt.edu,"Choro Q 64JP","Locomotive Corporation   TakaraJP","Lightly Used","Video Game"
39,usr004@gt.edu,"The Witcher 3: Wild Hunt","CD Projekt Red   Atari, Inc","Damaged/Missing parts","Computer Game"
40,usr004@gt.edu,"Trivial Pursuit","Quebec, Canada  Single six-sided die","Heavily Used","Board Game"
41,usr004@gt.edu,"A Detective's Novel","Amaterasu Software","Lightly Used","Computer Game"
42,usr004@gt.edu,"Mission Impossible",NULL,"Damaged/Missing parts","Video Game"
43,usr005@gt.edu,"Monster Hunter Frontier G1","Action role-playing, Expansion   Capcom","Damaged/Missing parts","Video Game"
44,usr005@gt.edu,"Inuyasha Trading Card Game ",NULL,"Like New","Card Game"
