swap_id,proposer_email,counterparty_rating
2,usr002@gt.edu,3
3,usr002@gt.edu,4
8,usr004@gt.edu,1
12,usr004@gt.edu,1
17,usr006@gt.edu,1
22,usr006@gt.edu,5
25,usr007@gt.edu,3
27,usr007@gt.edu,5
28,usr008@gt.edu,3
36,usr009@gt.edu,3
38,usr010@gt.edu,4
39,usr010@gt.edu,5
42,usr010@gt.edu,4
46,usr011@gt.edu,3
49,usr012@gt.edu,4
50,usr012@gt.edu,1
51,usr012@gt.edu,5
57,usr014@gt.edu,5
58,usr014@gt.edu,2
59,usr015@gt.edu,3
60,usr015@gt.edu,1
62,usr015@gt.edu,2
63,usr016@gt.edu,5
64,usr016@gt.edu,5
66,usr017@gt.edu,5
67,usr017@gt.edu,5
68,usr017@gt.edu,1
70,usr018@gt.edu,5
75,usr019@gt.edu,3
78,usr020@gt.edu,4
80,usr021@gt.edu,1
81,usr022@gt.edu,3
84,usr023@gt.edu,1
86,usr023@gt.edu,3
87,usr023@gt.edu,4
89,usr024@gt.edu,2
90,usr024@gt.edu,1
93,usr026@gt.edu,1
94,usr026@gt.edu,5
96,usr026@gt.edu,4
99,usr027@gt.edu,5
101,usr028@gt.edu,2
102,usr028@gt.edu,1
106,usr029@gt.edu,5
109,usr029@gt.edu,3
110,usr029@gt.edu,5
115,usr030@gt.edu,3
116,usr030@gt.edu,3
118,usr031@gt.edu,1
121,usr031@gt.edu,2
122,usr032@gt.edu,3
123,usr032@gt.edu,4
125,usr033@gt.edu,5
126,usr033@gt.edu,1
128,usr035@gt.edu,1
131,usr036@gt.edu,3
140,usr038@gt.edu,2
146,usr040@gt.edu,2
154,usr042@gt.edu,2
157,usr042@gt.edu,2
158,usr043@gt.edu,5
164,usr045@gt.edu,4
166,usr045@gt.edu,4
167,usr046@gt.edu,2
170,usr046@gt.edu,1
178,usr048@gt.edu,3
180,usr049@gt.edu,3
183,usr050@gt.edu,1
187,usr050@gt.edu,1
192,usr051@gt.edu,1
196,usr052@gt.edu,4
197,usr053@gt.edu,5
198,usr053@gt.edu,4
201,usr054@gt.edu,1
208,usr057@gt.edu,4
214,usr059@gt.edu,5
217,usr060@gt.edu,1
218,usr060@gt.edu,3
219,usr060@gt.edu,5
220,usr060@gt.edu,2
222,usr061@gt.edu,1
224,usr062@gt.edu,4
227,usr063@gt.edu,2
228,usr063@gt.edu,1
233,usr064@gt.edu,3
237,usr065@gt.edu,3
242,usr067@gt.edu,5
256,usr070@gt.edu,4
258,usr071@gt.edu,3
261,usr072@gt.edu,2
265,usr074@gt.edu,1
268,usr074@gt.edu,1
270,usr075@gt.edu,2
273,usr076@gt.edu,5
282,usr079@gt.edu,5
285,usr079@gt.edu,4
294,usr081@gt.edu,3
295,usr081@gt.edu,4
296,usr082@gt.edu,1
305,usr084@gt.edu,5
308,usr085@gt.edu,1
316,usr087@gt.edu,2
324,usr090@gt.edu,4
326,usr090@gt.edu,2
333,usr092@gt.edu,3
334,usr092@gt.edu,3
335,usr092@gt.edu,5
336,usr093@gt.edu,3
337,usr093@gt.edu,4
338,usr094@gt.edu,3
342,usr095@gt.edu,4
344,usr096@gt.edu,2
347,usr097@gt.edu,4
350,usr097@gt.edu,3
351,usr097@gt.edu,1
352,usr098@gt.edu,4
354,usr098@gt.edu,5
355,usr098@gt.edu,2
356,usr098@gt.edu,4
357,usr099@gt.edu,1
361,usr100@gt.edu,2
363,usr101@gt.edu,3
365,usr101@gt.edu,2
369,usr102@gt.edu,4
371,usr103@gt.edu,3
372,usr103@gt.edu,5
373,usr104@gt.edu,5
375,usr104@gt.edu,3
377,usr105@gt.edu,3
378,usr105@gt.edu,2
381,usr106@gt.edu,5
382,usr107@gt.edu,4
383,usr107@gt.edu,3
384,usr108@gt.edu,1
393,usr110@gt.edu,5
395,usr111@gt.edu,5
396,usr111@gt.edu,5
397,usr111@gt.edu,3
399,usr112@gt.edu,4
400,usr113@gt.edu,5
408,usr116@gt.edu,3
411,usr117@gt.edu,3
414,usr119@gt.edu,4
415,usr119@gt.edu,3
418,usr120@gt.edu,5
420,usr120@gt.edu,5
422,usr121@gt.edu,3
427,usr123@gt.edu,2
428,usr123@gt.edu,3
429,usr123@gt.edu,2
431,usr124@gt.edu,2
432,usr124@gt.edu,1
433,usr125@gt.edu,2
438,usr126@gt.edu,2
442,usr127@gt.edu,2
444,usr128@gt.edu,1
446,usr128@gt.edu,5
451,usr129@gt.edu,1
452,usr129@gt.edu,5
453,usr130@gt.edu,3
454,usr130@gt.edu,3
459,usr132@gt.edu,1
467,usr133@gt.edu,4
469,usr133@gt.edu,1
472,usr134@gt.edu,2
473,usr135@gt.edu,5
474,usr135@gt.edu,4
475,usr135@gt.edu,5
477,usr136@gt.edu,4
478,usr136@gt.edu,3
480,usr137@gt.edu,3
482,usr137@gt.edu,2
483,usr138@gt.edu,5
488,usr139@gt.edu,3
490,usr140@gt.edu,1
493,usr141@gt.edu,2
496,usr141@gt.edu,5
497,usr141@gt.edu,2
500,usr142@gt.edu,1
503,usr143@gt.edu,5
504,usr143@gt.edu,1
505,usr144@gt.edu,1
506,usr144@gt.edu,4
510,usr145@gt.edu,3
511,usr145@gt.edu,2
520,usr147@gt.edu,2
523,usr147@gt.edu,4
524,usr148@gt.edu,5
526,usr148@gt.edu,5
535,usr151@gt.edu,2
538,usr152@gt.edu,1
539,usr152@gt.edu,3
540,usr152@gt.edu,3
542,usr153@gt.edu,4
544,usr153@gt.edu,4
545,usr153@gt.edu,1
547,usr153@gt.edu,1
548,usr154@gt.edu,4
551,usr155@gt.edu,1
552,usr155@gt.edu,3
554,usr156@gt.edu,5
555,usr156@gt.edu,3
556,usr157@gt.edu,5
562,usr158@gt.edu,1
570,usr159@gt.edu,4
576,usr161@gt.edu,4
577,usr161@gt.edu,4
579,usr162@gt.edu,5
584,usr163@gt.edu,3
585,usr163@gt.edu,2
586,usr163@gt.edu,2
594,usr166@gt.edu,1
598,usr167@gt.edu,1
599,usr167@gt.edu,4
601,usr168@gt.edu,3
602,usr168@gt.edu,2
605,usr169@gt.edu,1
607,usr170@gt.edu,1
609,usr170@gt.edu,3
617,usr172@gt.edu,3
620,usr173@gt.edu,2
621,usr173@gt.edu,4
623,usr173@gt.edu,2
624,usr174@gt.edu,4
626,usr174@gt.edu,3
628,usr174@gt.edu,1
629,usr175@gt.edu,3
633,usr176@gt.edu,3
637,usr177@gt.edu,4
641,usr178@gt.edu,1
644,usr179@gt.edu,5
646,usr180@gt.edu,2
650,usr181@gt.edu,3
658,usr184@gt.edu,5
663,usr186@gt.edu,3
667,usr187@gt.edu,2
671,usr188@gt.edu,3
675,usr189@gt.edu,5
676,usr190@gt.edu,5
677,usr190@gt.edu,3
678,usr190@gt.edu,1
680,usr191@gt.edu,4
683,usr192@gt.edu,3
684,usr192@gt.edu,1
686,usr193@gt.edu,1
688,usr194@gt.edu,4
689,usr194@gt.edu,5
691,usr194@gt.edu,1
698,usr196@gt.edu,3
699,usr197@gt.edu,3
702,usr198@gt.edu,2
708,usr199@gt.edu,2
712,usr200@gt.edu,3
717,usr202@gt.edu,1
718,usr202@gt.edu,5
721,usr202@gt.edu,3
722,usr202@gt.edu,2
724,usr203@gt.edu,4
725,usr203@gt.edu,3
729,usr204@gt.edu,4
737,usr208@gt.edu,1
738,usr208@gt.edu,1
739,usr208@gt.edu,2
742,usr209@gt.edu,2
743,usr210@gt.edu,2
744,usr210@gt.edu,5
745,usr211@gt.edu,5
747,usr211@gt.edu,1
748,usr212@gt.edu,4
755,usr214@gt.edu,4
756,usr214@gt.edu,4
757,usr214@gt.edu,2
760,usr215@gt.edu,3
763,usr216@gt.edu,1
764,usr217@gt.edu,4
767,usr217@gt.edu,4
768,usr217@gt.edu,4
772,usr218@gt.edu,1
773,usr219@gt.edu,4
774,usr219@gt.edu,3
775,usr219@gt.edu,3
776,usr219@gt.edu,2
780,usr220@gt.edu,1
781,usr220@gt.edu,3
782,usr220@gt.edu,1
783,usr221@gt.edu,1
786,usr221@gt.edu,2
